iter,train_acc,test_acc,loss
0,0.16110,0.16160,2.00316
50,0.31592,0.32630,1.93673
100,0.38156,0.38330,1.47635
150,0.42304,0.41700,1.61897
200,0.43628,0.43270,1.53262
250,0.47922,0.47370,1.44477
300,0.49906,0.49170,1.13561
350,0.47774,0.47090,1.45440
400,0.52356,0.51730,1.46438
450,0.56188,0.55300,1.02940
500,0.55354,0.54500,1.12020
550,0.57650,0.56330,1.10891
600,0.59056,0.58280,0.93689
650,0.60334,0.58670,1.10196
700,0.60268,0.58370,1.17354
750,0.59710,0.58570,1.24737
800,0.58752,0.57550,1.00847
850,0.62982,0.61930,0.88105
900,0.63614,0.61250,1.08631
950,0.61896,0.60090,0.80091
1000,0.63160,0.61130,1.03316
1050,0.62132,0.60360,0.83214
1100,0.63502,0.61570,0.87277
1150,0.64738,0.63090,0.95133
1200,0.65934,0.63820,0.94744
1250,0.66018,0.63290,0.95923
1300,0.67442,0.64490,0.95371
1350,0.66534,0.64380,0.78082
1400,0.66908,0.64230,0.76938
1450,0.67226,0.64280,1.02259
1500,0.66776,0.63740,0.92334
1550,0.68058,0.65140,0.80339
1600,0.68490,0.65720,0.68022
1650,0.68086,0.65510,0.98176
1700,0.68872,0.65730,0.82623
1750,0.68742,0.65890,0.81321
1800,0.68620,0.65500,0.68092
1850,0.70170,0.66580,0.58753
1900,0.69948,0.66250,0.76093
1950,0.69604,0.66250,0.96093
2000,0.69738,0.66350,0.84881
2050,0.70534,0.67120,0.68627
2100,0.69136,0.64550,0.73223
2150,0.70884,0.66670,0.84853
2200,0.71008,0.66910,0.76451
2250,0.72238,0.68270,0.68593
2300,0.72346,0.68280,0.89223
2350,0.72130,0.68470,0.67881
2400,0.72136,0.67840,0.60063
2450,0.72930,0.68850,0.68587
2500,0.72632,0.68830,0.74174
2550,0.71608,0.67960,0.78831
2600,0.71476,0.66920,0.74367
2650,0.72990,0.68580,0.67056
2700,0.72602,0.67380,0.71155
2750,0.73876,0.68660,0.61274
2800,0.73548,0.68210,0.65408
2850,0.74026,0.68330,0.50944
2900,0.74964,0.69690,0.67141
2950,0.74730,0.69520,0.66265
3000,0.75292,0.69660,0.60451
3050,0.74958,0.69690,0.62663
3100,0.75864,0.70040,0.60474
3150,0.76382,0.69790,0.71836
3200,0.75952,0.69290,0.70330
3250,0.74330,0.68840,0.78784
3300,0.76338,0.70280,0.74612
3350,0.75694,0.69710,0.69925
3400,0.76124,0.69360,0.43803
3450,0.77222,0.70280,0.71661
3500,0.77502,0.71020,0.51389
3550,0.77268,0.70570,0.51997
3600,0.77834,0.71470,0.49494
3650,0.77764,0.70610,0.73098
3700,0.77952,0.70910,0.68162
3750,0.76168,0.69660,0.66194
3800,0.77896,0.71470,0.59313
3850,0.77634,0.70980,0.56542
3900,0.79184,0.71770,0.46721
3950,0.79470,0.72180,0.65610
4000,0.78976,0.71000,0.41836
4050,0.78234,0.70790,0.48900
4100,0.78992,0.71700,0.62714
4150,0.79836,0.72320,0.59221
4200,0.79582,0.71760,0.72429
4250,0.79962,0.72460,0.57032
4300,0.77942,0.70140,0.52601
4350,0.79746,0.72260,0.49638
4400,0.80340,0.72520,0.48867
4450,0.80494,0.72230,0.60308
4500,0.81620,0.73540,0.62677
4550,0.79960,0.71570,0.57056
4600,0.81150,0.72140,0.44270
4650,0.81028,0.72240,0.47490
4700,0.81304,0.72960,0.62741
4750,0.81582,0.72480,0.47781
4800,0.81616,0.72290,0.36212
4850,0.81868,0.72460,0.67909
4900,0.82054,0.72590,0.63455
4950,0.82126,0.72530,0.44558
5000,0.81900,0.72310,0.53312
5050,0.81188,0.71750,0.65179
5100,0.81574,0.71910,0.43781
5150,0.82162,0.72050,0.50229
5200,0.81960,0.72240,0.41630
5250,0.81430,0.71540,0.61174
5300,0.82424,0.72740,0.40026
5350,0.82844,0.72710,0.51423
5400,0.83622,0.73650,0.46816
5450,0.82928,0.72820,0.46702
5500,0.83538,0.72930,0.44665
5550,0.82502,0.72260,0.67272
5600,0.83108,0.72160,0.30325
5650,0.82804,0.72620,0.43348
5700,0.83872,0.73560,0.43296
5750,0.83378,0.72780,0.52275
5800,0.83480,0.72050,0.52682
5850,0.84336,0.73910,0.31553
5900,0.84454,0.73350,0.37229
5950,0.83326,0.73020,0.43148
6000,0.85062,0.74020,0.35603
6050,0.85688,0.74290,0.52222
6100,0.85134,0.73350,0.42666
6150,0.85326,0.73580,0.48023
6200,0.84824,0.72460,0.33230
6250,0.84364,0.72980,0.36793
6300,0.83632,0.71860,0.39544
6350,0.85318,0.72770,0.44813
6400,0.85410,0.73520,0.54381
6450,0.86182,0.73740,0.30356
6500,0.86224,0.74010,0.57684
6550,0.85764,0.73710,0.46510
6600,0.85560,0.73390,0.43513
6650,0.86722,0.73690,0.42640
6700,0.86522,0.74110,0.29137
6750,0.86256,0.73460,0.48917
6800,0.86576,0.74450,0.34457
6850,0.86194,0.73680,0.40098
6900,0.86752,0.74000,0.43434
6950,0.86276,0.73200,0.26317
7000,0.86758,0.73870,0.13814
7050,0.86404,0.72900,0.46413
7100,0.86776,0.74490,0.51691
7150,0.86178,0.73740,0.31529
7200,0.86842,0.74080,0.25432
7250,0.86878,0.73640,0.40645
7300,0.86798,0.73580,0.33291
7350,0.87124,0.73490,0.30342
7400,0.86844,0.73360,0.26294
7450,0.86058,0.72610,0.29038
7500,0.87792,0.74100,0.32043
7550,0.87598,0.74180,0.17648
7600,0.86986,0.73350,0.35438
7650,0.87784,0.74050,0.23661
7700,0.87884,0.73740,0.29187
7750,0.87636,0.73910,0.40581
7800,0.87928,0.73910,0.25455
7850,0.88224,0.74350,0.38191
7900,0.86092,0.72230,0.30857
7950,0.87180,0.73790,0.39621
8000,0.88348,0.74430,0.38081
8050,0.88252,0.74680,0.35046
8100,0.88582,0.74610,0.20450
8150,0.88066,0.74250,0.23948
8200,0.88006,0.74080,0.42052
8250,0.89312,0.74420,0.29645
8300,0.88700,0.74220,0.20031
8350,0.87660,0.73210,0.35672
8400,0.89506,0.74770,0.24354
8450,0.88798,0.73880,0.33000
8500,0.88754,0.73640,0.32682
8550,0.88874,0.74080,0.26597
8600,0.89566,0.74710,0.31182
8650,0.88614,0.73880,0.30818
8700,0.88926,0.74280,0.25504
8750,0.89412,0.75170,0.37743
8800,0.89406,0.74620,0.17932
8850,0.89760,0.74690,0.41550
8900,0.88940,0.74280,0.21564
8950,0.89504,0.75250,0.16626
9000,0.89796,0.74520,0.20857
9050,0.88944,0.74350,0.38598
9100,0.89426,0.74410,0.38682
9150,0.89274,0.73730,0.22659
9200,0.88482,0.72650,0.27706
9250,0.89682,0.74150,0.38303
9300,0.90016,0.74340,0.17146
9350,0.89216,0.74100,0.23384
9400,0.89266,0.74350,0.39001
9450,0.88860,0.73340,0.24666
9500,0.89908,0.74920,0.24878
9550,0.89420,0.73610,0.21237
9600,0.89276,0.74440,0.24828
9650,0.90456,0.74990,0.47546
9700,0.90348,0.74950,0.26563
9750,0.89522,0.73560,0.18607
9800,0.86492,0.71760,0.35012
9850,0.87468,0.71530,0.45685
9900,0.89960,0.73350,0.24444
9950,0.89628,0.73940,0.35878
