iter,train_acc,test_acc,loss
0,0.16170,0.15860,2.00209
50,0.32226,0.32220,1.84217
100,0.36584,0.36090,1.80714
150,0.40390,0.40350,1.65450
200,0.37634,0.37250,1.74257
250,0.44486,0.43530,1.67051
300,0.46574,0.45640,1.43857
350,0.48162,0.47440,1.49004
400,0.50260,0.49680,1.22825
450,0.52050,0.52030,1.30217
500,0.51832,0.51010,1.40829
550,0.54322,0.53700,1.44144
600,0.54622,0.54330,1.31827
650,0.54038,0.53860,1.27780
700,0.56422,0.55340,1.49407
750,0.57508,0.56730,1.23977
800,0.57436,0.56480,1.18463
850,0.58814,0.58050,1.01942
900,0.59806,0.58700,1.18922
950,0.59618,0.58710,1.20339
1000,0.59750,0.59630,1.25293
1050,0.64460,0.63840,1.17501
1100,0.65344,0.64490,1.04265
1150,0.65910,0.65070,1.00179
1200,0.65760,0.65610,0.94003
1250,0.66584,0.65380,1.10348
1300,0.66620,0.66060,1.13788
1350,0.66918,0.66190,1.11994
1400,0.67162,0.66560,0.91609
1450,0.67554,0.66290,0.97547
1500,0.68078,0.66980,0.93257
1550,0.67982,0.67130,0.92632
1600,0.68180,0.66990,0.89279
1650,0.68164,0.67030,1.01437
1700,0.68844,0.67490,0.94468
1750,0.68636,0.67890,0.78958
1800,0.68744,0.67930,0.93158
1850,0.69150,0.68000,0.85549
1900,0.69084,0.68250,0.84151
1950,0.69612,0.68820,0.89555
2000,0.69042,0.68430,0.76909
2050,0.69632,0.68870,0.77817
2100,0.69764,0.68560,0.89603
2150,0.69640,0.68650,0.64513
2200,0.70136,0.68900,0.84410
2250,0.70286,0.69400,0.68786
2300,0.70054,0.68840,0.98032
2350,0.70196,0.68840,0.96335
2400,0.70440,0.69550,0.78184
2450,0.70794,0.69510,0.81917
2500,0.70424,0.69260,1.05761
2550,0.70782,0.69580,1.02465
2600,0.70994,0.70010,0.64423
2650,0.70982,0.69570,0.78270
2700,0.70934,0.69940,0.95341
2750,0.71520,0.70100,0.92581
2800,0.71384,0.70030,0.86621
2850,0.71304,0.70030,0.72416
2900,0.71310,0.69920,0.83685
2950,0.71600,0.70670,0.77140
3000,0.71552,0.70060,0.84507
3050,0.71814,0.70990,0.77408
3100,0.72144,0.70550,0.85559
3150,0.71838,0.70450,0.87811
3200,0.72436,0.71410,0.66805
3250,0.72264,0.70920,0.87155
3300,0.72204,0.71130,0.88727
3350,0.72522,0.71330,0.67141
3400,0.72460,0.71130,0.88624
3450,0.72630,0.71510,0.92636
3500,0.72696,0.71140,0.80541
3550,0.72712,0.71600,0.92791
3600,0.72936,0.71150,0.82195
3650,0.73242,0.71410,0.77451
3700,0.73286,0.72160,0.85033
3750,0.73446,0.72210,0.82767
3800,0.73518,0.71910,0.81879
3850,0.73380,0.71170,0.81980
3900,0.73672,0.72280,0.73637
3950,0.73192,0.71470,0.75107
4000,0.73578,0.72240,0.65678
4050,0.74106,0.72440,0.73126
4100,0.73874,0.72340,0.75474
4150,0.73808,0.71610,0.84297
4200,0.74400,0.72660,0.84462
4250,0.73632,0.71770,0.88500
4300,0.74346,0.72300,0.79134
4350,0.74478,0.72750,0.91195
4400,0.74628,0.73160,0.68185
4450,0.74246,0.72250,0.60036
4500,0.74694,0.73040,0.78287
4550,0.74512,0.72830,0.70099
4600,0.74606,0.73480,0.50261
4650,0.74916,0.73010,0.80836
4700,0.74762,0.73020,0.61863
4750,0.74424,0.72330,0.62611
4800,0.75044,0.73050,0.60766
4850,0.75044,0.73150,0.98769
4900,0.75266,0.72990,0.92286
4950,0.75278,0.73050,0.69700
5000,0.75134,0.72850,0.51974
5050,0.75558,0.73790,0.58334
5100,0.75984,0.73850,0.78299
5150,0.75988,0.73780,0.73705
5200,0.75964,0.74060,0.64440
5250,0.76094,0.74020,0.82822
5300,0.76182,0.73730,0.73870
